ID,Text,Sentiment,Offensive Word,Category,Intensity
1,You're acting like an idiot again today.,Negative,idiot,Insult,High
2,Why do you look so weird every morning?,Negative,weird,Body Shaming,Medium
3,Nobody wants to sit with you because you're annoying.,Negative,annoying,Social Manipulation,Medium
4,Women shouldn't try to take leadership roles.,Negative,none,Sexist Remark,High
5,"You're so lazy, it's embarrassing.",Negative,lazy,Workplace Belittling,Medium
6,Your behavior is pathetic during class.,Negative,pathetic,Insult,High
7,You talk too much and it's irritating.,Negative,irritating,Sarcasm/Mockery,Medium
8,"Your grades are awful, do you even try?",Negative,awful,Academic Shaming,Medium
9,You're such a clown when you talk like that.,Negative,clown,Insult,Low
10,"No offense, but you act really dumb sometimes.",Negative,dumb,Insult,Medium
11,Your ideas are useless and disorganized.,Negative,useless,Workplace Belittling,High
12,Why do you walk like that? It's strange.,Negative,strange,Body Shaming,Medium
13,Boys shouldn't act emotional like you.,Negative,none,Sexist Remark,Medium
14,You're a freak for laughing at everything.,Negative,freak,Insult,High
15,You're too slow; it's painful to watch.,Negative,none,Workplace Belittling,Medium
16,Stop being a jerk to everyone today.,Negative,jerk,Insult,Low
17,You look ridiculous in that outfit.,Negative,ridiculous,Body Shaming,Medium
18,No one trusts you because you act creepy.,Negative,creepy,Insult,Medium
19,Everyone thinks you're a weirdo.,Negative,weirdo,Social Manipulation,High
20,Your handwriting is embarrassing.,Negative,none,Academic Shaming,Low
21,You're acting like a loser again.,Negative,loser,Insult,High
22,People like you always mess things up.,Negative,none,Racist-coded Harassment,Medium
23,You smell strange today.,Negative,strange,Body Shaming,Low
24,You're useless at everything you try.,Negative,useless,Insult,High
25,Girls should stay quiet during discussions.,Negative,none,Sexist Remark,High
26,You're so annoying when you complain.,Negative,annoying,Sarcasm/Mockery,Medium
27,Your excuses are pathetic every time.,Negative,pathetic,Insult,Medium
28,You look tired and sloppy today.,Negative,sloppy,Body Shaming,Low
29,You always ruin everything; it's ridiculous.,Negative,ridiculous,Insult,High
30,You act like a clown in every meeting.,Negative,clown,Workplace Belittling,Low
31,Only an idiot would think like that.,Negative,idiot,Insult,High
32,Your haircut makes you look weird.,Negative,weird,Body Shaming,Medium
33,Stop being annoying and bothering everyone.,Negative,annoying,Social Manipulation,Medium
34,Women are too emotional to lead projects.,Negative,none,Sexist Remark,High
35,You are lazy and never finish tasks.,Negative,lazy,Workplace Belittling,Low
36,"Your behavior is pathetic, honestly.",Negative,pathetic,Insult,High
37,That attitude is so irritating.,Negative,irritating,Sarcasm/Mockery,Medium
38,Your grades are awful; try harder.,Negative,awful,Academic Shaming,Medium
39,You are acting like a clown again.,Negative,clown,Insult,Low
40,That was a dumb thing to say.,Negative,dumb,Insult,Medium
41,You're completely useless in this team.,Negative,useless,Workplace Belittling,High
42,Your outfit looks strange today.,Negative,strange,Body Shaming,Medium
43,Men are always better at math than women.,Negative,none,Sexist Remark,Medium
44,You?re such a freak with your habits.,Negative,freak,Insult,High
45,You always slow everyone down.,Negative,none,Workplace Belittling,Medium
46,Don?t be a jerk to your teammates.,Negative,jerk,Insult,Low
47,That explanation was ridiculous.,Negative,ridiculous,Insult,Medium
48,You look creepy in that picture.,Negative,creepy,Insult,Medium
49,Only a weirdo would act that way.,Negative,weirdo,Social Manipulation,High
50,Your essay was terrible and incomplete.,Negative,none,Academic Shaming,Low
51,Who would be stupid enough to do that?,Negative,idiot,Insult,High
52,That dress makes you look weird.,Negative,weird,Body Shaming,Medium
53,Stop being annoying and pay attention.,Negative,annoying,Social Manipulation,Medium
54,Girls can?t handle leadership roles.,Negative,none,Sexist Remark,High
55,You never do anything and are lazy.,Negative,lazy,Workplace Belittling,Low
56,Your effort is pathetic and sad.,Negative,pathetic,Insult,High
57,You are being so irritating right now.,Negative,irritating,Sarcasm/Mockery,Medium
58,Your homework is awful; redo it.,Negative,awful,Academic Shaming,Medium
59,Stop acting like a clown in class.,Negative,clown,Insult,Low
60,That was a dumb mistake to make.,Negative,dumb,Insult,Medium
61,You are completely useless at this job.,Negative,useless,Workplace Belittling,High
62,Your face looks strange in that photo.,Negative,strange,Body Shaming,Medium
63,Men always know better than women.,Negative,none,Sexist Remark,Medium
64,You act like a total freak sometimes.,Negative,freak,Insult,High
65,You slow everyone down with your work.,Negative,none,Workplace Belittling,Medium
66,Stop being a jerk to everyone around you.,Negative,jerk,Insult,Low
67,That idea is ridiculous and useless.,Negative,ridiculous,Insult,Medium
68,You look creepy in that outfit.,Negative,creepy,Insult,Medium
69,Only a weirdo would behave like that.,Negative,weirdo,Social Manipulation,High
70,Your report is incomplete and awful.,Negative,none,Academic Shaming,Low
71,Who could be so stupid to do that?,Negative,idiot,Insult,High
72,That hairstyle makes you look weird.,Negative,weird,Body Shaming,Medium
73,Stop being so annoying all the time.,Negative,annoying,Social Manipulation,Medium
74,Women are too emotional to be leaders.,Negative,none,Sexist Remark,High
75,"You never do anything, lazy as usual.",Negative,lazy,Workplace Belittling,Low
76,"Your work is pathetic, try harder.",Negative,pathetic,Insult,High
77,You?re really irritating right now.,Negative,irritating,Sarcasm/Mockery,Medium
78,Your essay is awful and full of mistakes.,Negative,awful,Academic Shaming,Medium
79,Stop acting like a clown in the office.,Negative,clown,Insult,Low
80,That was a dumb thing to write.,Negative,dumb,Insult,Medium
81,You are completely useless in this project.,Negative,useless,Workplace Belittling,High
82,That outfit makes you look strange.,Negative,strange,Body Shaming,Medium
83,Men are naturally better than women at math.,Negative,none,Sexist Remark,Medium
84,You act like a freak with your behavior.,Negative,freak,Insult,High
85,You always slow down the whole team.,Negative,none,Workplace Belittling,Medium
86,Don?t be a jerk and cooperate.,Negative,jerk,Insult,Low
87,Your suggestion is ridiculous and useless.,Negative,ridiculous,Insult,Medium
88,You look creepy when you smile like that.,Negative,creepy,Insult,Medium
89,Only a weirdo would react that way.,Negative,weirdo,Social Manipulation,High
90,Your paper is incomplete and awful.,Negative,none,Academic Shaming,Low
91,That was an idiotic thing to do.,Negative,idiot,Insult,High
92,Your makeup makes you look weird.,Negative,weird,Body Shaming,Medium
93,Stop being annoying and focus.,Negative,annoying,Social Manipulation,Medium
94,Girls cannot handle responsibilities.,Negative,none,Sexist Remark,High
95,You are lazy and never contribute.,Negative,lazy,Workplace Belittling,Low
96,Your performance is pathetic.,Negative,pathetic,Insult,High
97,You?re so irritating when you complain.,Negative,irritating,Sarcasm/Mockery,Medium
98,That homework is awful and incomplete.,Negative,awful,Academic Shaming,Medium
99,You keep acting like a clown in class.,Negative,clown,Insult,Low
100,That was a dumb comment.,Negative,dumb,Insult,Medium
101,You are completely useless at this assignment.,Negative,useless,Workplace Belittling,High
102,Your jacket makes you look strange.,Negative,strange,Body Shaming,Medium
103,Women always overreact compared to men.,Negative,none,Sexist Remark,Medium
104,You?re a total freak sometimes.,Negative,freak,Insult,High
105,You slow the team down constantly.,Negative,none,Workplace Belittling,Medium
106,Don?t act like a jerk to your colleagues.,Negative,jerk,Insult,Low
107,That explanation is ridiculous.,Negative,ridiculous,Insult,Medium
108,You look creepy with that expression.,Negative,creepy,Insult,Medium
109,Only a weirdo would think that way.,Negative,weirdo,Social Manipulation,High
110,Your assignment is incomplete and awful.,Negative,none,Academic Shaming,Low
111,Who would be an idiot to make that mistake?,Negative,idiot,Insult,High
112,Your outfit looks weird today.,Negative,weird,Body Shaming,Medium
113,Stop being so annoying all the time.,Negative,annoying,Social Manipulation,Medium
114,Men are naturally better leaders than women.,Negative,none,Sexist Remark,High
115,You never finish your work; lazy again.,Negative,lazy,Workplace Belittling,Low
116,That excuse is pathetic.,Negative,pathetic,Insult,High
117,You?re irritating me with your attitude.,Negative,irritating,Sarcasm/Mockery,Medium
118,Your paper is awful; redo it.,Negative,awful,Academic Shaming,Medium
119,Stop acting like a clown in the office.,Negative,clown,Insult,Low
120,That was a dumb thing to say.,Negative,dumb,Insult,Medium
121,You are completely useless at this task.,Negative,useless,Workplace Belittling,High
122,Your haircut looks strange today.,Negative,strange,Body Shaming,Medium
123,Women cannot handle high-pressure jobs.,Negative,none,Sexist Remark,High
124,Stop acting like a freak all the time.,Negative,freak,Insult,High
125,You always slow down the entire project.,Negative,none,Workplace Belittling,Medium
126,Don?t be such a jerk in meetings.,Negative,jerk,Insult,Low
127,That idea is ridiculous and makes no sense.,Negative,ridiculous,Insult,Medium
128,You look creepy standing like that.,Negative,creepy,Insult,Medium
129,Only a weirdo would say something like that.,Negative,weirdo,Social Manipulation,High
130,Your essay is awful and poorly written.,Negative,none,Academic Shaming,Low
131,That was an idiotic move in the game.,Negative,idiot,Insult,High
132,Your outfit makes you look weird.,Negative,weird,Body Shaming,Medium
133,Stop being annoying and cooperate.,Negative,annoying,Social Manipulation,Medium
134,Girls cannot make good decisions.,Negative,none,Sexist Remark,High
135,You are lazy and never contribute anything.,Negative,lazy,Workplace Belittling,Low
136,That effort is pathetic.,Negative,pathetic,Insult,High
137,You?re irritating me with your constant complaining.,Negative,irritating,Sarcasm/Mockery,Medium
138,Your homework is awful; redo it.,Negative,awful,Academic Shaming,Medium
139,Stop acting like a clown in the presentation.,Negative,clown,Insult,Low
140,That was a dumb comment to make.,Negative,dumb,Insult,Medium
141,You are completely useless in this team.,Negative,useless,Workplace Belittling,High
142,Your hairstyle looks strange today.,Negative,strange,Body Shaming,Medium
143,Men are naturally smarter than women.,Negative,none,Sexist Remark,Medium
144,You act like a total freak sometimes.,Negative,freak,Insult,High
145,You always slow down the workflow.,Negative,none,Workplace Belittling,Medium
146,Stop being a jerk and listen.,Negative,jerk,Insult,Low
147,That plan is ridiculous and useless.,Negative,ridiculous,Insult,Medium
148,You look creepy in that photo.,Negative,creepy,Insult,Medium
149,Only a weirdo would do that.,Negative,weirdo,Social Manipulation,High
150,Your project is incomplete and awful.,Negative,none,Academic Shaming,Low
151,Who would be an idiot to try that?,Negative,idiot,Insult,High
152,That shirt makes you look weird.,Negative,weird,Body Shaming,Medium
153,Stop being so annoying all the time.,Negative,annoying,Social Manipulation,Medium
154,Women can?t handle complex tasks.,Negative,none,Sexist Remark,High
155,You are lazy and careless.,Negative,lazy,Workplace Belittling,Low
156,Your excuse is pathetic and lame.,Negative,pathetic,Insult,High
157,You?re really irritating right now.,Negative,irritating,Sarcasm/Mockery,Medium
158,That essay was awful and incomplete.,Negative,awful,Academic Shaming,Medium
159,Stop acting like a clown in the office.,Negative,clown,Insult,Low
160,That was a dumb thing to write.,Negative,dumb,Insult,Medium
161,You are completely useless at this assignment.,Negative,useless,Workplace Belittling,High
162,Your clothes look strange today.,Negative,strange,Body Shaming,Medium
163,Men always perform better than women.,Negative,none,Sexist Remark,Medium
164,You?re acting like a freak again.,Negative,freak,Insult,High
165,You slow the whole team down.,Negative,none,Workplace Belittling,Medium
166,Don?t be a jerk in the meeting.,Negative,jerk,Insult,Low
167,That suggestion is ridiculous.,Negative,ridiculous,Insult,Medium
168,You look creepy while presenting.,Negative,creepy,Insult,Medium
169,Only a weirdo would behave like that.,Negative,weirdo,Social Manipulation,High
170,Your report is awful and incomplete.,Negative,none,Academic Shaming,Low
171,That was an idiotic thing to do.,Negative,idiot,Insult,High
172,Your dress looks weird today.,Negative,weird,Body Shaming,Medium
173,Stop being annoying during the discussion.,Negative,annoying,Social Manipulation,Medium
174,Girls are too emotional to lead.,Negative,none,Sexist Remark,High
175,You never complete your work; lazy as usual.,Negative,lazy,Workplace Belittling,Low
176,Your argument is pathetic.,Negative,pathetic,Insult,High
177,You?re irritating with your constant complaining.,Negative,irritating,Sarcasm/Mockery,Medium
178,That homework is awful.,Negative,awful,Academic Shaming,Medium
179,Stop acting like a clown in class.,Negative,clown,Insult,Low
180,That was a dumb thing to say.,Negative,dumb,Insult,Medium
181,You are completely useless in this project.,Negative,useless,Workplace Belittling,High
182,Your jacket looks strange today.,Negative,strange,Body Shaming,Medium
183,Women are naturally less capable than men.,Negative,none,Sexist Remark,Medium
184,You are such a freak with your behavior.,Negative,freak,Insult,High
185,You always slow the team down.,Negative,none,Workplace Belittling,Medium
186,Don?t act like a jerk to others.,Negative,jerk,Insult,Low
187,That plan is ridiculous.,Negative,ridiculous,Insult,Medium
188,You look creepy in that outfit.,Negative,creepy,Insult,Medium
189,Only a weirdo would do that in public.,Negative,weirdo,Social Manipulation,High
190,Your essay is incomplete and awful.,Negative,none,Academic Shaming,Low
191,Who would be an idiot to say that?,Negative,idiot,Insult,High
192,That hairstyle makes you look weird.,Negative,weird,Body Shaming,Medium
193,Stop being so annoying all the time.,Negative,annoying,Social Manipulation,Medium
194,Women cannot handle stressful jobs.,Negative,none,Sexist Remark,High
195,You are lazy and never finish tasks.,Negative,lazy,Workplace Belittling,Low
196,Your performance is pathetic.,Negative,pathetic,Insult,High
197,You?re really irritating today.,Negative,irritating,Sarcasm/Mockery,Medium
198,That assignment was awful.,Negative,awful,Academic Shaming,Medium
199,Stop acting like a clown.,Negative,clown,Insult,Low
200,That was a dumb idea.,Negative,dumb,Insult,Medium
201,You are useless at this task.,Negative,useless,Workplace Belittling,High
202,Your face looks strange.,Negative,strange,Body Shaming,Medium
203,Women are too emotional to manage projects.,Negative,none,Sexist Remark,High
204,You are acting like a freak again.,Negative,freak,Insult,High
205,You slow the project down constantly.,Negative,none,Workplace Belittling,Medium
206,Don?t be a jerk to the team.,Negative,jerk,Insult,Low
207,That plan is ridiculous and will fail.,Negative,ridiculous,Insult,Medium
208,You look creepy standing there.,Negative,creepy,Insult,Medium
209,Only a weirdo would behave like that.,Negative,weirdo,Social Manipulation,High
210,Your report is awful and incomplete.,Negative,none,Academic Shaming,Low
211,That was an idiotic decision.,Negative,idiot,Insult,High
212,Your outfit looks weird.,Negative,weird,Body Shaming,Medium
213,Stop being annoying and cooperate.,Negative,annoying,Social Manipulation,Medium
214,Girls cannot handle responsibility.,Negative,none,Sexist Remark,High
215,You are lazy and careless.,Negative,lazy,Workplace Belittling,Low
216,Your effort is pathetic.,Negative,pathetic,Insult,High
217,You are irritating with your attitude.,Negative,irritating,Sarcasm/Mockery,Medium
218,Your homework is awful; redo it.,Negative,awful,Academic Shaming,Medium
219,Stop acting like a clown in the meeting.,Negative,clown,Insult,Low
220,That was a dumb mistake.,Negative,dumb,Insult,Medium
221,You are completely useless in this task.,Negative,useless,Workplace Belittling,High
222,Your hair looks strange today.,Negative,strange,Body Shaming,Medium
223,Women cannot handle leadership roles.,Negative,none,Sexist Remark,High
224,Stop acting like a total freak.,Negative,freak,Insult,High
225,You slow down the project for everyone.,Negative,none,Workplace Belittling,Medium
226,Don?t act like a jerk during discussions.,Negative,jerk,Insult,Low
227,That suggestion is ridiculous and pointless.,Negative,ridiculous,Insult,Medium
228,You look creepy standing there like that.,Negative,creepy,Insult,Medium
229,Only a weirdo would behave that way.,Negative,weirdo,Social Manipulation,High
230,Your assignment is incomplete and awful.,Negative,none,Academic Shaming,Low
231,That was an idiotic decision.,Negative,idiot,Insult,High
232,Your outfit makes you look weird.,Negative,weird,Body Shaming,Medium
233,Stop being annoying and focus.,Negative,annoying,Social Manipulation,Medium
234,Girls cannot handle difficult tasks.,Negative,none,Sexist Remark,High
235,You are lazy and unproductive.,Negative,lazy,Workplace Belittling,Low
236,Your excuse is pathetic.,Negative,pathetic,Insult,High
237,You?re really irritating with your constant complaints.,Negative,irritating,Sarcasm/Mockery,Medium
238,That paper is awful and full of mistakes.,Negative,awful,Academic Shaming,Medium
239,Stop acting like a clown in front of everyone.,Negative,clown,Insult,Low
240,That was a dumb thing to say.,Negative,dumb,Insult,Medium
241,You are completely useless at this assignment.,Negative,useless,Workplace Belittling,High
242,Your shoes look strange today.,Negative,strange,Body Shaming,Medium
243,Men always outperform women.,Negative,none,Sexist Remark,Medium
244,You act like a freak constantly.,Negative,freak,Insult,High
245,You slow the team down every time.,Negative,none,Workplace Belittling,Medium
246,Don?t be a jerk during the meeting.,Negative,jerk,Insult,Low
247,That plan is ridiculous and will fail.,Negative,ridiculous,Insult,Medium
248,You look creepy in that outfit.,Negative,creepy,Insult,Medium
249,Only a weirdo would act like that.,Negative,weirdo,Social Manipulation,High
250,Your homework is awful and incomplete.,Negative,none,Academic Shaming,Low
251,Who would be an idiot to do that?,Negative,idiot,Insult,High
252,That dress makes you look weird.,Negative,weird,Body Shaming,Medium
253,Stop being so annoying.,Negative,annoying,Social Manipulation,Medium
254,Women are too emotional for management roles.,Negative,none,Sexist Remark,High
255,You are lazy and careless.,Negative,lazy,Workplace Belittling,Low
256,Your performance is pathetic.,Negative,pathetic,Insult,High
257,You?re irritating with your attitude.,Negative,irritating,Sarcasm/Mockery,Medium
258,That homework was awful.,Negative,awful,Academic Shaming,Medium
259,Stop acting like a clown in class.,Negative,clown,Insult,Low
260,That was a dumb mistake.,Negative,dumb,Insult,Medium
261,You are useless at this task.,Negative,useless,Workplace Belittling,High
262,Your hair looks strange today.,Negative,strange,Body Shaming,Medium
263,Women cannot lead high-pressure projects.,Negative,none,Sexist Remark,High
264,Stop acting like a freak.,Negative,freak,Insult,High
265,You slow down the entire team.,Negative,none,Workplace Belittling,Medium
266,Don?t act like a jerk in front of everyone.,Negative,jerk,Insult,Low
267,That idea is ridiculous.,Negative,ridiculous,Insult,Medium
268,You look creepy presenting like that.,Negative,creepy,Insult,Medium
269,Only a weirdo would behave like that.,Negative,weirdo,Social Manipulation,High
270,Your report is awful and incomplete.,Negative,none,Academic Shaming,Low
271,That was an idiotic thing to do.,Negative,idiot,Insult,High
272,Your outfit looks weird today.,Negative,weird,Body Shaming,Medium
273,Stop being annoying all the time.,Negative,annoying,Social Manipulation,Medium
274,Girls cannot handle challenging tasks.,Negative,none,Sexist Remark,High
275,You are lazy and ineffective.,Negative,lazy,Workplace Belittling,Low
276,That explanation is pathetic.,Negative,pathetic,Insult,High
277,You are irritating with your constant talking.,Negative,irritating,Sarcasm/Mockery,Medium
278,Your essay is awful; fix it.,Negative,awful,Academic Shaming,Medium
279,Stop acting like a clown in the presentation.,Negative,clown,Insult,Low
280,That was a dumb idea to suggest.,Negative,dumb,Insult,Medium
281,You are completely useless in this project.,Negative,useless,Workplace Belittling,High
282,Your jacket looks strange today.,Negative,strange,Body Shaming,Medium
283,Men always outperform women in tasks.,Negative,none,Sexist Remark,Medium
284,You are acting like a freak again.,Negative,freak,Insult,High
285,You slow the team down every day.,Negative,none,Workplace Belittling,Medium
286,Don?t be a jerk in the discussion.,Negative,jerk,Insult,Low
287,That proposal is ridiculous.,Negative,ridiculous,Insult,Medium
288,You look creepy with that expression.,Negative,creepy,Insult,Medium
289,Only a weirdo would say that.,Negative,weirdo,Social Manipulation,High
290,Your homework is incomplete and awful.,Negative,none,Academic Shaming,Low
291,Who would be an idiot to think that?,Negative,idiot,Insult,High
292,That dress looks weird on you.,Negative,weird,Body Shaming,Medium
293,Stop being so annoying in class.,Negative,annoying,Social Manipulation,Medium
294,Women cannot handle pressure well.,Negative,none,Sexist Remark,High
295,You are lazy and unproductive.,Negative,lazy,Workplace Belittling,Low
296,Your work is pathetic.,Negative,pathetic,Insult,High
297,You are irritating with your behavior.,Negative,irritating,Sarcasm/Mockery,Medium
298,That homework was awful.,Negative,awful,Academic Shaming,Medium
299,Stop acting like a clown in the office.,Negative,clown,Insult,Low
300,That was a dumb statement.,Negative,dumb,Insult,Medium
301,You are useless at this task.,Negative,useless,Workplace Belittling,High
302,Your hair looks strange today.,Negative,strange,Body Shaming,Medium
303,Women cannot manage leadership tasks.,Negative,none,Sexist Remark,High
304,Stop acting like a freak constantly.,Negative,freak,Insult,High
305,You slow down the team constantly.,Negative,none,Workplace Belittling,Medium
306,Don?t be a jerk in front of your peers.,Negative,jerk,Insult,Low
307,That idea is ridiculous and pointless.,Negative,ridiculous,Insult,Medium
308,You look creepy standing there.,Negative,creepy,Insult,Medium
309,Only a weirdo would behave like that.,Negative,weirdo,Social Manipulation,High
310,Your essay is awful and incomplete.,Negative,none,Academic Shaming,Low
311,That was an idiotic action.,Negative,idiot,Insult,High
312,Your outfit looks weird.,Negative,weird,Body Shaming,Medium
313,Stop being annoying and pay attention.,Negative,annoying,Social Manipulation,Medium
314,Girls cannot handle complex tasks.,Negative,none,Sexist Remark,High
315,You are lazy and careless.,Negative,lazy,Workplace Belittling,Low
316,Your performance is pathetic.,Negative,pathetic,Insult,High
317,You are irritating with your attitude.,Negative,irritating,Sarcasm/Mockery,Medium
318,That homework is awful.,Negative,awful,Academic Shaming,Medium
319,Stop acting like a clown in class.,Negative,clown,Insult,Low
320,That was a dumb mistake.,Negative,dumb,Insult,Medium
321,Your online posts make you look ridiculous.,Negative,ridiculous,Cyberbullying,Medium
322,You are completely useless at social media.,Negative,useless,Cyberbullying,High
323,That profile picture is weird.,Negative,weird,Body Shaming,Medium
324,Women should not post opinions online.,Negative,none,Sexist Remark,High
325,You always act like a freak online.,Negative,freak,Cyberbullying,High
326,You slow down the group chat with useless comments.,Negative,useless,Workplace Belittling,Medium
327,Stop being a jerk in messages.,Negative,jerk,Cyberbullying,Low
328,Your tweet is dumb and embarrassing.,Negative,dumb,Cyberbullying,Medium
329,Only a weirdo would post that publicly.,Negative,weirdo,Social Manipulation,High
330,Your assignment is awful; fix it immediately.,Negative,awful,Academic Shaming,Low
331,That was an idiotic comment on the forum.,Negative,idiot,Cyberbullying,High
332,Your outfit in the photo looks strange.,Negative,strange,Body Shaming,Medium
333,Stop being annoying in the online discussion.,Negative,annoying,Social Manipulation,Medium
334,Women cannot handle leadership online either.,Negative,none,Sexist Remark,High
335,You are lazy and never contribute to online groups.,Negative,lazy,Workplace Belittling,Low
336,That post was pathetic.,Negative,pathetic,Cyberbullying,High
337,Your messages are irritating to read.,Negative,irritating,Sarcasm/Mockery,Medium
338,That homework is awful; redo it.,Negative,awful,Academic Shaming,Medium
339,Stop acting like a clown on video calls.,Negative,clown,Workplace Belittling,Low
340,That comment was dumb.,Negative,dumb,Cyberbullying,Medium
341,You are completely useless in online teamwork.,Negative,useless,Workplace Belittling,High
342,Your appearance in the profile pic is strange.,Negative,strange,Body Shaming,Medium
343,Men always dominate discussions online.,Negative,none,Sexist Remark,Medium
344,You act like a freak in every online post.,Negative,freak,Cyberbullying,High
345,You slow down online projects for everyone.,Negative,none,Workplace Belittling,Medium
346,Stop being a jerk in the chat.,Negative,jerk,Cyberbullying,Low
347,That meme you shared is ridiculous.,Negative,ridiculous,Cyberbullying,Medium
348,You look creepy in your latest video.,Negative,creepy,Body Shaming,Medium
349,Only a weirdo would post that comment.,Negative,weirdo,Social Manipulation,High
350,Your essay is awful and full of mistakes.,Negative,none,Academic Shaming,Low
351,That was an idiotic tweet.,Negative,idiot,Cyberbullying,High
352,Your dress in that photo looks weird.,Negative,weird,Body Shaming,Medium
353,Stop being annoying on the forum.,Negative,annoying,Social Manipulation,Medium
354,Women are too emotional to debate online.,Negative,none,Sexist Remark,High
355,You are lazy and never post helpful content.,Negative,lazy,Workplace Belittling,Low
356,Your argument is pathetic.,Negative,pathetic,Cyberbullying,High
357,Your comments are irritating.,Negative,irritating,Sarcasm/Mockery,Medium
358,That homework is awful; resubmit it.,Negative,awful,Academic Shaming,Medium
359,Stop acting like a clown on the chat.,Negative,clown,Workplace Belittling,Low
360,That was a dumb post.,Negative,dumb,Cyberbullying,Medium
361,You are useless at this online project.,Negative,useless,Workplace Belittling,High
362,Your photo looks strange today.,Negative,strange,Body Shaming,Medium
363,Men are smarter than women online.,Negative,none,Sexist Remark,Medium
364,Stop acting like a freak on your posts.,Negative,freak,Cyberbullying,High
365,You slow the chat down constantly.,Negative,none,Workplace Belittling,Medium
366,Don?t be a jerk in online meetings.,Negative,jerk,Cyberbullying,Low
367,That idea you shared is ridiculous.,Negative,ridiculous,Cyberbullying,Medium
368,You look creepy in that photo.,Negative,creepy,Body Shaming,Medium
369,Only a weirdo would share that publicly.,Negative,weirdo,Social Manipulation,High
370,Your report is awful; redo it.,Negative,none,Academic Shaming,Low
371,That was an idiotic decision online.,Negative,idiot,Cyberbullying,High
372,Your outfit in the photo is weird.,Negative,weird,Body Shaming,Medium
373,Stop being annoying in online chats.,Negative,annoying,Social Manipulation,Medium
374,Women cannot manage online debates.,Negative,none,Sexist Remark,High
375,You are lazy and careless in posts.,Negative,lazy,Workplace Belittling,Low
376,That explanation is pathetic.,Negative,pathetic,Cyberbullying,High
377,You are irritating with your constant comments.,Negative,irritating,Sarcasm/Mockery,Medium
378,That homework submission was awful.,Negative,awful,Academic Shaming,Medium
379,Stop acting like a clown in online calls.,Negative,clown,Workplace Belittling,Low
380,That was a dumb comment to post.,Negative,dumb,Cyberbullying,Medium
381,You are useless at this online assignment.,Negative,useless,Workplace Belittling,High
382,Your profile picture looks strange.,Negative,strange,Body Shaming,Medium
383,Women are not capable of managing online teams.,Negative,none,Sexist Remark,Medium
384,You act like a freak on every post.,Negative,freak,Cyberbullying,High
385,You slow down group chats constantly.,Negative,none,Workplace Belittling,Medium
386,Stop being a jerk online.,Negative,jerk,Cyberbullying,Low
387,That post is ridiculous.,Negative,ridiculous,Cyberbullying,Medium
388,You look creepy in that video.,Negative,creepy,Body Shaming,Medium
389,Only a weirdo would behave like that online.,Negative,weirdo,Social Manipulation,High
390,Your assignment is awful and incomplete.,Negative,none,Academic Shaming,Low
391,That was an idiotic post.,Negative,idiot,Cyberbullying,High
392,That dress looks weird in your photo.,Negative,weird,Body Shaming,Medium
393,Stop being annoying in group chats.,Negative,annoying,Social Manipulation,Medium
394,Women are too emotional for online projects.,Negative,none,Sexist Remark,High
395,You are lazy and never contribute online.,Negative,lazy,Workplace Belittling,Low
396,That argument is pathetic.,Negative,pathetic,Cyberbullying,High
397,Your comments are irritating to everyone.,Negative,irritating,Sarcasm/Mockery,Medium
398,That homework is awful; correct it.,Negative,awful,Academic Shaming,Medium
399,Stop acting like a clown online.,Negative,clown,Workplace Belittling,Low
400,That was a dumb thing to post.,Negative,dumb,Cyberbullying,Medium
401,You are useless in this project.,Negative,useless,Workplace Belittling,High
402,Your photo looks strange today.,Negative,strange,Body Shaming,Medium
