ID,Text,Sentiment,Offensive Word,Category,Intensity
403,Women cannot handle leadership online.,Negative,none,Sexist Remark,High
404,Stop acting like a freak online.,Negative,freak,Cyberbullying,High
405,You slow down the team in chats.,Negative,none,Workplace Belittling,Medium
406,Don?t be a jerk in messages.,Negative,jerk,Cyberbullying,Low
407,That meme is ridiculous and annoying.,Negative,ridiculous,Cyberbullying,Medium
408,You look creepy in that image.,Negative,creepy,Body Shaming,Medium
409,Only a weirdo would post that comment online.,Negative,weirdo,Social Manipulation,High
410,Your essay is awful and incomplete.,Negative,none,Academic Shaming,Low
411,That was an idiotic post on the forum.,Negative,idiot,Cyberbullying,High
412,Your outfit looks weird in the photo.,Negative,weird,Body Shaming,Medium
413,Stop being annoying in online discussions.,Negative,annoying,Social Manipulation,Medium
414,Women cannot handle difficult tasks online.,Negative,none,Sexist Remark,High
415,You are lazy and careless online.,Negative,lazy,Workplace Belittling,Low
416,Your explanation is pathetic.,Negative,pathetic,Cyberbullying,High
417,You are irritating with your posts.,Negative,irritating,Sarcasm/Mockery,Medium
418,That homework is awful; redo it.,Negative,awful,Academic Shaming,Medium
419,Stop acting like a clown in chats.,Negative,clown,Workplace Belittling,Low
420,That was a dumb post online.,Negative,dumb,Cyberbullying,Medium
421,Your beliefs are ridiculous.,Negative,ridiculous,Religious Insult,Medium
422,People like you are a disgrace to your culture.,Negative,disgrace,Cultural Harassment,High
423,That political opinion is dumb.,Negative,dumb,Political Mockery,Medium
424,You are useless in this debate.,Negative,useless,Workplace Belittling,High
425,Stop acting like a freak in discussions.,Negative,freak,Social Manipulation,High
426,Your traditions are outdated and pathetic.,Negative,pathetic,Cultural Harassment,Medium
427,That comment was irritating to everyone.,Negative,irritating,Sarcasm/Mockery,Medium
428,Your essay on religion is awful.,Negative,awful,Academic Shaming,Medium
429,Stop being a clown in political debates.,Negative,clown,Political Mockery,Low
430,That argument was idiotic.,Negative,idiot,Insult,High
431,Your outfit looks weird for the ceremony.,Negative,weird,Body Shaming,Medium
432,Stop being annoying in the group chat.,Negative,annoying,Social Manipulation,Medium
433,Women cannot lead political discussions.,Negative,none,Sexist Remark,High
434,You are lazy and never contribute to meetings.,Negative,lazy,Workplace Belittling,Low
435,That idea was pathetic and useless.,Negative,pathetic,Insult,High
436,Your speech is irritating.,Negative,irritating,Sarcasm/Mockery,Medium
437,Your research paper is awful.,Negative,awful,Academic Shaming,Medium
438,Stop acting like a clown during presentations.,Negative,clown,Workplace Belittling,Low
439,That proposal was dumb.,Negative,dumb,Political Mockery,Medium
440,You are useless in this discussion.,Negative,useless,Workplace Belittling,High
441,Your appearance looks strange today.,Negative,strange,Body Shaming,Medium
442,Men always dominate political debates.,Negative,none,Sexist Remark,Medium
443,Stop acting like a freak on the forum.,Negative,freak,Social Manipulation,High
444,You slow down team projects constantly.,Negative,none,Workplace Belittling,Medium
445,Don?t be a jerk in messages.,Negative,jerk,Cyberbullying,Low
446,That comment is ridiculous.,Negative,ridiculous,Political Mockery,Medium
447,You look creepy in that video.,Negative,creepy,Body Shaming,Medium
448,Only a weirdo would behave like that online.,Negative,weirdo,Social Manipulation,High
449,Your essay is awful and full of errors.,Negative,none,Academic Shaming,Low
450,That was an idiotic comment online.,Negative,idiot,Cyberbullying,High
451,Your outfit is weird for the occasion.,Negative,weird,Body Shaming,Medium
452,Stop being annoying in online discussions.,Negative,annoying,Social Manipulation,Medium
453,Women cannot handle leadership roles online.,Negative,none,Sexist Remark,High
454,You are lazy and careless in online projects.,Negative,lazy,Workplace Belittling,Low
455,Your argument is pathetic.,Negative,pathetic,Insult,High
456,Your messages are irritating.,Negative,irritating,Sarcasm/Mockery,Medium
457,That report is awful; fix it.,Negative,awful,Academic Shaming,Medium
458,Stop acting like a clown in meetings.,Negative,clown,Workplace Belittling,Low
459,That was a dumb post.,Negative,dumb,Cyberbullying,Medium
460,You are useless in this online project.,Negative,useless,Workplace Belittling,High
461,Your photo looks strange today.,Negative,strange,Body Shaming,Medium
462,Stop being sexist in online debates.,Negative,none,Sexist Remark,Medium
463,You act like a freak on every post.,Negative,freak,Social Manipulation,High
464,You slow down group discussions constantly.,Negative,none,Workplace Belittling,Medium
465,Don?t be a jerk online.,Negative,jerk,Cyberbullying,Low
466,That opinion is ridiculous.,Negative,ridiculous,Political Mockery,Medium
467,You look creepy in that image.,Negative,creepy,Body Shaming,Medium
468,Only a weirdo would post that comment online.,Negative,weirdo,Social Manipulation,High
469,Your essay is awful and incomplete.,Negative,none,Academic Shaming,Low
470,That was an idiotic post online.,Negative,idiot,Cyberbullying,High
471,Your outfit looks weird in the photo.,Negative,weird,Body Shaming,Medium
472,Stop being annoying in online chats.,Negative,annoying,Social Manipulation,Medium
473,Women cannot handle difficult tasks online.,Negative,none,Sexist Remark,High
474,You are lazy and careless online.,Negative,lazy,Workplace Belittling,Low
475,Your explanation is pathetic.,Negative,pathetic,Cyberbullying,High
476,You are irritating with your posts.,Negative,irritating,Sarcasm/Mockery,Medium
477,That homework is awful; redo it.,Negative,awful,Academic Shaming,Medium
478,Stop acting like a clown in chats.,Negative,clown,Workplace Belittling,Low
479,That was a dumb post online.,Negative,dumb,Cyberbullying,Medium
480,Your religious argument is ridiculous.,Negative,ridiculous,Religious Insult,Medium
481,That cultural practice is silly.,Negative,silly,Cultural Harassment,Medium
482,Your political stance is pathetic.,Negative,pathetic,Political Mockery,Medium
483,Stop being a freak in group chats.,Negative,freak,Social Manipulation,High
484,You are useless in this online debate.,Negative,useless,Workplace Belittling,High
485,That ceremony outfit looks weird.,Negative,weird,Body Shaming,Medium
486,Only men are capable in politics.,Negative,none,Sexist Remark,High
487,You look creepy in your video post.,Negative,creepy,Body Shaming,Medium
488,That comment is idiotic.,Negative,idiot,Cyberbullying,High
489,Your essay on culture is awful.,Negative,awful,Academic Shaming,Medium
490,Stop acting like a clown in online meetings.,Negative,clown,Workplace Belittling,Low
491,That idea is dumb.,Negative,dumb,Political Mockery,Medium
492,You are useless in this group project.,Negative,useless,Workplace Belittling,High
493,Your profile photo looks strange.,Negative,strange,Body Shaming,Medium
494,Women are incapable of leading discussions.,Negative,none,Sexist Remark,High
495,Stop acting like a freak online.,Negative,freak,Social Manipulation,High
496,You slow down projects constantly.,Negative,none,Workplace Belittling,Medium
497,Don?t be a jerk in the forum.,Negative,jerk,Cyberbullying,Low
498,That post is ridiculous.,Negative,ridiculous,Political Mockery,Medium
499,You look creepy in that post.,Negative,creepy,Body Shaming,Medium
500,Only a weirdo would post that comment.,Negative,weirdo,Social Manipulation,High
501,Your paper is awful; revise it.,Negative,none,Academic Shaming,Low
502,That was an idiotic post online.,Negative,idiot,Cyberbullying,High
503,Your outfit is weird in the photo.,Negative,weird,Body Shaming,Medium
504,Stop being annoying in group discussions.,Negative,annoying,Social Manipulation,Medium
505,Women cannot handle online leadership roles.,Negative,none,Sexist Remark,High
506,You are lazy and careless in posts.,Negative,lazy,Workplace Belittling,Low
507,That argument is pathetic.,Negative,pathetic,Insult,High
508,Your comments are irritating.,Negative,irritating,Sarcasm/Mockery,Medium
509,That essay is awful; redo it.,Negative,awful,Academic Shaming,Medium
510,Stop acting like a clown in online chats.,Negative,clown,Workplace Belittling,Low
511,That was a dumb online post.,Negative,dumb,Cyberbullying,Medium
512,Your religious post is ridiculous.,Negative,ridiculous,Religious Insult,Medium
513,That cultural practice is ridiculous.,Negative,ridiculous,Cultural Harassment,Medium
514,Your political argument is pathetic.,Negative,pathetic,Political Mockery,Medium
515,Stop being a freak in online forums.,Negative,freak,Social Manipulation,High
516,You are useless in the chat group.,Negative,useless,Workplace Belittling,High
517,That outfit is weird for the event.,Negative,weird,Body Shaming,Medium
518,Only men can lead online projects.,Negative,none,Sexist Remark,High
519,You look creepy in that photo.,Negative,creepy,Body Shaming,Medium
520,That was an idiotic comment.,Negative,idiot,Cyberbullying,High
521,Your online posts are pathetic.,Negative,pathetic,Cyberbullying,High
522,That outfit makes you look ridiculous.,Negative,ridiculous,Body Shaming,Medium
523,People like you should not speak here.,Negative,none,Social Exclusion,High
524,Your political opinion is dumb.,Negative,dumb,Political Mockery,Medium
525,Stop acting like a fool in the discussion.,Negative,fool,Insult,High
526,Your essay on culture is awful.,Negative,awful,Academic Shaming,Medium
527,You always slow down group projects.,Negative,none,Workplace Belittling,Medium
528,That comment was creepy.,Negative,creepy,Body Shaming,Medium
529,Only a loser would behave like that.,Negative,loser,Insult,High
530,Your lifestyle choices are pathetic.,Negative,pathetic,Lifestyle Shaming,Medium
531,Stop posting annoying comments online.,Negative,annoying,Social Manipulation,Medium
532,Women cannot manage leadership roles online.,Negative,none,Sexist Remark,High
533,You are useless in this chat.,Negative,useless,Workplace Belittling,High
534,That outfit looks weird today.,Negative,weird,Body Shaming,Medium
535,Your traditions are silly.,Negative,silly,Cultural Harassment,Medium
536,Only idiots would post such nonsense.,Negative,idiots,Cyberbullying,High
537,That political post was dumb.,Negative,dumb,Political Mockery,Medium
538,You are acting like a freak again.,Negative,freak,Social Manipulation,High
539,Stop being a jerk in meetings.,Negative,jerk,Workplace Belittling,Low
540,Your research paper is awful.,Negative,awful,Academic Shaming,Medium
541,That comment makes you look creepy.,Negative,creepy,Body Shaming,Medium
542,Only a weirdo would say that online.,Negative,weirdo,Social Manipulation,High
543,Your ideas are ridiculous.,Negative,ridiculous,Insult,Medium
544,That essay is pathetic and incomplete.,Negative,pathetic,Academic Shaming,High
545,Stop acting like a clown in this chat.,Negative,clown,Social Manipulation,Low
546,That opinion is dumb.,Negative,dumb,Political Mockery,Medium
547,You are useless in this discussion.,Negative,useless,Workplace Belittling,High
548,That outfit looks strange for the event.,Negative,strange,Body Shaming,Medium
549,Women cannot handle online discussions.,Negative,none,Sexist Remark,High
550,Stop being a freak in the forum.,Negative,freak,Social Manipulation,High
551,You slow down projects constantly.,Negative,none,Workplace Belittling,Medium
552,Don?t post idiotic comments.,Negative,idiotic,Cyberbullying,High
553,That post is ridiculous.,Negative,ridiculous,Political Mockery,Medium
554,Your profile photo looks creepy.,Negative,creepy,Body Shaming,Medium
555,Only a weirdo would post that here.,Negative,weirdo,Social Manipulation,High
556,Your essay is awful; revise it.,Negative,awful,Academic Shaming,Medium
557,That post was dumb.,Negative,dumb,Cyberbullying,Medium
558,Stop acting like a clown online.,Negative,clown,Social Manipulation,Low
559,That idea is pathetic.,Negative,pathetic,Insult,High
560,Your posts are irritating.,Negative,irritating,Sarcasm/Mockery,Medium
561,That homework is awful; redo it.,Negative,awful,Academic Shaming,Medium
562,Stop being annoying in online chats.,Negative,annoying,Social Manipulation,Medium
563,Your outfit looks ridiculous.,Negative,ridiculous,Body Shaming,Medium
564,Only men can lead online projects.,Negative,none,Sexist Remark,High
565,That post was dumb.,Negative,dumb,Political Mockery,Medium
566,You are useless in this online project.,Negative,useless,Workplace Belittling,High
567,That profile picture is weird.,Negative,weird,Body Shaming,Medium
568,Women cannot manage online discussions.,Negative,none,Sexist Remark,High
569,Stop being a freak in chats.,Negative,freak,Social Manipulation,High
570,You slow down group work.,Negative,none,Workplace Belittling,Medium
571,Don?t post idiotic ideas.,Negative,idiotic,Cyberbullying,High
572,That comment is ridiculous.,Negative,ridiculous,Political Mockery,Medium
573,Your photo looks creepy.,Negative,creepy,Body Shaming,Medium
574,Only a weirdo would post that comment.,Negative,weirdo,Social Manipulation,High
575,That essay is awful and messy.,Negative,awful,Academic Shaming,Medium
576,Stop acting like a clown in forums.,Negative,clown,Social Manipulation,Low
577,That opinion is dumb.,Negative,dumb,Political Mockery,Medium
578,You are useless in this discussion.,Negative,useless,Workplace Belittling,High
579,That outfit looks strange.,Negative,strange,Body Shaming,Medium
580,Women cannot handle leadership online.,Negative,none,Sexist Remark,High
581,Stop being a freak in the chat.,Negative,freak,Social Manipulation,High
582,You slow down projects all the time.,Negative,none,Workplace Belittling,Medium
583,Don?t post idiotic comments online.,Negative,idiotic,Cyberbullying,High
584,That post is ridiculous.,Negative,ridiculous,Political Mockery,Medium
585,Your profile picture looks creepy.,Negative,creepy,Body Shaming,Medium
586,Only a weirdo would post that online.,Negative,weirdo,Social Manipulation,High
587,That essay is awful; fix it.,Negative,awful,Academic Shaming,Medium
588,Stop acting like a clown online.,Negative,clown,Social Manipulation,Low
589,That was a dumb comment.,Negative,dumb,Cyberbullying,Medium
590,Your religious post is ridiculous.,Negative,ridiculous,Religious Insult,Medium
591,That cultural practice is silly.,Negative,silly,Cultural Harassment,Medium
592,Your political argument is pathetic.,Negative,pathetic,Political Mockery,Medium
593,Stop being a freak online.,Negative,freak,Social Manipulation,High
594,You are useless in this group.,Negative,useless,Workplace Belittling,High
595,That outfit is weird for the event.,Negative,weird,Body Shaming,Medium
596,Only men can lead projects online.,Negative,none,Sexist Remark,High
597,You look creepy in the photo.,Negative,creepy,Body Shaming,Medium
598,That was an idiotic comment.,Negative,idiotic,Cyberbullying,High
599,Your essay is awful.,Negative,awful,Academic Shaming,Medium
600,Stop acting like a clown in chat.,Negative,clown,Social Manipulation,Low
601,That post is dumb.,Negative,dumb,Political Mockery,Medium
602,You are useless in this project.,Negative,useless,Workplace Belittling,High
603,That profile picture looks strange.,Negative,strange,Body Shaming,Medium
604,Women cannot lead online projects.,Negative,none,Sexist Remark,High
605,Stop being a freak in discussions.,Negative,freak,Social Manipulation,High
606,You slow down group discussions.,Negative,none,Workplace Belittling,Medium
607,Don?t post idiotic messages.,Negative,idiotic,Cyberbullying,High
608,That post is ridiculous.,Negative,ridiculous,Political Mockery,Medium
609,Your photo looks creepy.,Negative,creepy,Body Shaming,Medium
610,Only a weirdo would post that online.,Negative,weirdo,Social Manipulation,High
611,That essay is awful; redo it.,Negative,awful,Academic Shaming,Medium
612,Stop acting like a clown online.,Negative,clown,Social Manipulation,Low
613,That was a dumb post.,Negative,dumb,Cyberbullying,Medium
614,Your religious post is ridiculous.,Negative,ridiculous,Religious Insult,Medium
615,That cultural practice is ridiculous.,Negative,ridiculous,Cultural Harassment,Medium
616,Your political argument is pathetic.,Negative,pathetic,Political Mockery,Medium
617,Stop being a freak online.,Negative,freak,Social Manipulation,High
618,You are useless in this group.,Negative,useless,Workplace Belittling,High
619,That outfit is weird for the event.,Negative,weird,Body Shaming,Medium
620,Only men can lead projects online.,Negative,none,Sexist Remark,High
621,Great job on completing the project ahead of time,Positive,none,Praise,Low
622,Your contribution really helped the team succeed,Positive,none,Praise,Low
623,"Interesting perspective on the topic, thanks for sharing",Positive,none,Praise,Low
624,I appreciate your effort in finishing this task,Positive,none,Praise,Low
625,Your idea could use a little improvement,Neutral,none,Constructive Feedback,Medium
626,That post was informative and clear,Positive,none,Praise,Low
627,I see your point but consider other options too,Neutral,none,Constructive Feedback,Medium
628,Excellent analysis in your essay,Positive,none,Praise,Low
629,You explained that really well,Positive,none,Praise,Low
630,This is acceptable but could be refined,Neutral,none,Constructive Feedback,Low
631,Your report is well-structured and easy to follow,Positive,none,Praise,Low
632,That comment is reasonable and fair,Neutral,none,Neutral Observation,Low
633,I like your presentation style,Positive,none,Praise,Low
634,Your post is clear but missing some details,Neutral,none,Constructive Feedback,Medium
635,Good explanation of the concept,Positive,none,Praise,Low
636,The suggestion makes sense,Neutral,none,Neutral Observation,Low
637,Great effort on completing the assignment,Positive,none,Praise,Low
638,Your solution is okay but can be optimized,Neutral,none,Constructive Feedback,Medium
639,That was a clever approach,Positive,none,Praise,Low
640,I understand your argument but need clarification,Neutral,none,Constructive Feedback,Low
641,Well done on achieving your goal,Positive,none,Praise,Low
642,"Your idea is neutral, worth further thought",Neutral,none,Neutral Observation,Low
643,Fantastic teamwork on this project,Positive,none,Praise,Low
644,"The results are average, not bad",Neutral,none,Neutral Observation,Low
645,Your work is impressive,Positive,none,Praise,Low
646,The explanation is okay but not complete,Neutral,none,Constructive Feedback,Medium
647,Excellent contribution in discussion,Positive,none,Praise,Low
648,"That answer is neutral, correct but basic",Neutral,none,Neutral Observation,Low
649,I like your approach to solving the problem,Positive,none,Praise,Low
650,"Your essay is neutral, informative but needs polish",Neutral,none,Constructive Feedback,Medium
651,Well done on providing accurate data,Positive,none,Praise,Low
652,The suggestion is reasonable but requires improvement,Neutral,none,Constructive Feedback,Medium
653,Great insights on this topic,Positive,none,Praise,Low
654,"The point is neutral, informative but incomplete",Neutral,none,Neutral Observation,Medium
655,Excellent demonstration of skills,Positive,none,Praise,Low
656,"That presentation is okay, could be improved",Neutral,none,Constructive Feedback,Medium
657,Well articulated ideas,Positive,none,Praise,Low
658,The explanation is neutral but understandable,Neutral,none,Neutral Observation,Low
659,Your report is thorough and clear,Positive,none,Praise,Low
660,"The comment is neutral, factual but brief",Neutral,none,Neutral Observation,Low
661,Great analysis on this problem,Positive,none,Praise,Low
662,"Your solution is neutral, works but needs clarity",Neutral,none,Constructive Feedback,Medium
663,Excellent participation in discussion,Positive,none,Praise,Low
664,"The essay is neutral, well-written but basic",Neutral,none,Constructive Feedback,Medium
665,Wonderful teamwork displayed,Positive,none,Praise,Low
666,"Your idea is neutral, worth exploring further",Neutral,none,Neutral Observation,Low
667,Great job sharing your insights,Positive,none,Praise,Low
668,"The comment is neutral, informative and concise",Neutral,none,Neutral Observation,Low
669,Excellent explanation of the concept,Positive,none,Praise,Low
670,"That observation is neutral, valid but needs more details",Neutral,none,Constructive Feedback,Medium
671,Your idea is impressive and creative,Positive,none,Praise,Low
672,I think your solution works but could be clearer,Neutral,none,Constructive Feedback,Medium
673,You always make everything about yourself,Negative,always,Insult,Medium
674,Great explanation on the topic,Positive,none,Praise,Low
675,That approach is okay but needs refinement,Neutral,none,Constructive Feedback,Medium
676,You are completely useless in these tasks,Negative,useless,Insult,High
677,Well done on completing the assignment,Positive,none,Praise,Low
678,The report is okay but lacks some important points,Neutral,none,Constructive Feedback,Medium
679,You act like a total clown in meetings,Negative,clown,Workplace Belittling,Medium
680,Excellent teamwork throughout the project,Positive,none,Praise,Low
681,Your post is clear but missing examples,Neutral,none,Constructive Feedback,Medium
682,Stop being so lazy all the time,Negative,lazy,Workplace Belittling,High
683,Good job presenting your ideas,Positive,none,Praise,Low
684,The essay is fine but could use more detail,Neutral,none,Constructive Feedback,Medium
685,That comment was pathetic and annoying,Negative,pathetic,Insult,High
686,Nice work on the assignment,Positive,none,Praise,Low
687,Your argument is valid but needs more evidence,Neutral,none,Constructive Feedback,Medium
688,You are a complete fool for thinking that,Negative,fool,Insult,High
689,Great participation in the discussion,Positive,none,Praise,Low
690,That solution works but can be improved,Neutral,none,Constructive Feedback,Medium
691,You always ruin the project with your mistakes,Negative,ruin,Workplace Belittling,High
692,Wonderful presentation and clear ideas,Positive,none,Praise,Low
693,"Your idea is neutral, informative but brief",Neutral,none,Neutral Observation,Low
694,Stop being such an annoying person,Negative,annoying,Sarcasm/Mockery,Medium
695,Excellent analysis of the data,Positive,none,Praise,Low
696,Your essay is fine but needs minor edits,Neutral,none,Constructive Feedback,Low
697,That was a ridiculous statement,Negative,ridiculous,Insult,Medium
698,Great clarity in your explanation,Positive,none,Praise,Low
699,The post is acceptable but lacks depth,Neutral,none,Constructive Feedback,Medium
700,You look completely ridiculous in that photo,Negative,ridiculous,Body Shaming,High
701,Nice job summarizing the key points,Positive,none,Praise,Low
702,"That comment is neutral, correct but simple",Neutral,none,Neutral Observation,Low
703,You are so pathetic when you explain things,Negative,pathetic,Sarcasm/Mockery,Medium
704,Excellent effort on completing your work,Positive,none,Praise,Low
705,Your essay is okay but missing some points,Neutral,none,Constructive Feedback,Medium
706,You are an idiot for thinking that,Negative,idiot,Insult,High
707,Great job presenting your findings,Positive,none,Praise,Low
708,That idea is neutral but worth exploring,Neutral,none,Neutral Observation,Low
709,"You are so useless, why even try",Negative,useless,Workplace Belittling,High
710,Good work on finishing the task,Positive,none,Praise,Low
711,Your comment is fine but needs clarity,Neutral,none,Constructive Feedback,Medium
712,That was a stupid decision,Negative,stupid,Insult,Medium
713,Excellent job summarizing the topic,Positive,none,Praise,Low
714,Your essay is acceptable but not detailed,Neutral,none,Constructive Feedback,Medium
715,Stop acting like a fool all the time,Negative,fool,Insult,Medium
716,Great participation and thoughtful comments,Positive,none,Praise,Low
717,"The post is neutral, clear but brief",Neutral,none,Neutral Observation,Low
718,You always make things worse,Negative,worse,Workplace Belittling,High
719,Well done explaining the key points,Positive,none,Praise,Low
720,Your solution is fine but needs refinement,Neutral,none,Constructive Feedback,Medium
721,You are ridiculous for thinking that,Negative,ridiculous,Insult,Medium
722,Excellent clarity in your presentation,Positive,none,Praise,Low
723,"That essay is neutral, informative but simple",Neutral,none,Neutral Observation,Low
724,Stop being such a lazy person,Negative,lazy,Workplace Belittling,High
725,Great work on your assignment,Positive,none,Praise,Low
726,Your comment is okay but could be better,Neutral,none,Constructive Feedback,Medium
727,You are so annoying in every discussion,Negative,annoying,Sarcasm/Mockery,Medium
728,Nice job analyzing the problem,Positive,none,Praise,Low
729,"That post is neutral, accurate but brief",Neutral,none,Neutral Observation,Low
730,You are a complete fool for this action,Negative,fool,Insult,High
731,Great explanation and well-structured ideas,Positive,none,Praise,Low
732,"Your essay is neutral, readable but simple",Neutral,none,Neutral Observation,Low
733,Stop being pathetic all the time,Negative,pathetic,Sarcasm/Mockery,Medium
734,Excellent teamwork and effort,Positive,none,Praise,Low
735,"The report is neutral, informative but basic",Neutral,none,Neutral Observation,Low
736,You look awful in this photo,Negative,awful,Body Shaming,High
737,Good job presenting your results,Positive,none,Praise,Low
738,Your comment is neutral but could be clearer,Neutral,none,Constructive Feedback,Medium
739,You are such a clown sometimes,Negative,clown,Insult,Medium
740,Excellent contribution in the discussion,Positive,none,Praise,Low
741,"That post is neutral, correct but simple",Neutral,none,Neutral Observation,Low
742,Stop being annoying in group tasks,Negative,annoying,Sarcasm/Mockery,Medium
743,Great clarity in your explanation,Positive,none,Praise,Low
744,"The solution is neutral, works but incomplete",Neutral,none,Constructive Feedback,Medium
745,You are ridiculous for making that mistake,Negative,ridiculous,Insult,High
746,Nice work summarizing the key points,Positive,none,Praise,Low
747,"The essay is neutral, informative but short",Neutral,none,Neutral Observation,Low
748,You are a complete idiot for doing that,Negative,idiot,Insult,High
749,Excellent job presenting your ideas,Positive,none,Praise,Low
750,"That comment is neutral, factual but brief",Neutral,none,Neutral Observation,Low
751,Your analysis is impressive and detailed,Positive,none,Praise,Low
752,That solution is okay but can be improved,Neutral,none,Constructive Feedback,Medium
753,You are completely useless at this task,Negative,useless,Workplace Belittling,High
754,Great explanation of the key points,Positive,none,Praise,Low
755,Your essay is acceptable but lacks examples,Neutral,none,Constructive Feedback,Medium
756,Stop being so lazy all the time,Negative,lazy,Workplace Belittling,High
757,Excellent participation in the discussion,Positive,none,Praise,Low
758,That post is neutral but informative,Neutral,none,Neutral Observation,Low
759,You are a ridiculous person for saying that,Negative,ridiculous,Insult,Medium
760,Nice work summarizing the topic,Positive,none,Praise,Low
761,Your comment is fine but could be clearer,Neutral,none,Constructive Feedback,Medium
762,You are an idiot for thinking that,Negative,idiot,Insult,High
763,Great effort on your assignment,Positive,none,Praise,Low
764,"That essay is neutral, readable but simple",Neutral,none,Neutral Observation,Low
765,Stop being annoying in group discussions,Negative,annoying,Sarcasm/Mockery,Medium
766,Excellent clarity in your explanation,Positive,none,Praise,Low
767,The report is okay but missing some details,Neutral,none,Constructive Feedback,Medium
768,You are a fool for making that choice,Negative,fool,Insult,Medium
769,Great teamwork throughout the project,Positive,none,Praise,Low
770,"Your post is neutral, correct but brief",Neutral,none,Neutral Observation,Low
771,That was a pathetic attempt,Negative,pathetic,Sarcasm/Mockery,Medium
772,Nice job presenting your findings,Positive,none,Praise,Low
773,"Your essay is neutral, informative but brief",Neutral,none,Neutral Observation,Low
774,You are ridiculous for thinking that,Negative,ridiculous,Insult,Medium
775,Excellent effort and presentation,Positive,none,Praise,Low
776,The solution is neutral but works,Neutral,none,Constructive Feedback,Medium
777,You look awful in this image,Negative,awful,Body Shaming,High
778,Well done summarizing the key points,Positive,none,Praise,Low
779,Your comment is neutral but needs more clarity,Neutral,none,Constructive Feedback,Medium
780,Stop acting like a clown,Negative,clown,Insult,Medium
781,Great explanation and structure,Positive,none,Praise,Low
782,"The post is neutral, informative but short",Neutral,none,Neutral Observation,Low
783,You are annoying in every task,Negative,annoying,Sarcasm/Mockery,Medium
784,Excellent work on the assignment,Positive,none,Praise,Low
785,"The essay is neutral, correct but simple",Neutral,none,Neutral Observation,Low
786,You are a fool for making that decision,Negative,fool,Insult,Medium
787,Nice job presenting your ideas,Positive,none,Praise,Low
788,That post is neutral but understandable,Neutral,none,Neutral Observation,Low
789,You are pathetic in this explanation,Negative,pathetic,Sarcasm/Mockery,Medium
790,Great effort and participation,Positive,none,Praise,Low
791,"The report is neutral, informative but basic",Neutral,none,Neutral Observation,Low
792,You are a complete idiot for doing that,Negative,idiot,Insult,High
793,Excellent clarity in your work,Positive,none,Praise,Low
794,"Your essay is neutral, readable but short",Neutral,none,Neutral Observation,Low
795,Stop being ridiculous all the time,Negative,ridiculous,Insult,Medium
796,Well done summarizing the topic,Positive,none,Praise,Low
797,"The post is neutral, correct but brief",Neutral,none,Neutral Observation,Low
798,You are completely useless at this task,Negative,useless,Workplace Belittling,High
799,Great teamwork and explanation,Positive,none,Praise,Low
800,"Your comment is neutral, factual but brief",Neutral,none,Neutral Observation,Low
